analyte,setup_id,method,n_components,requested_n_components,score_trend_degree,score_trend_degree_effective,smooth_window,smooth_polyorder,grid_points,scope_summary,n_detail_rows,avg_cumulative_explained_variance_ratio,avg_abs_pc_pearson,avg_abs_pc_spearman,avg_pc_trend_r2,avg_rmse_uA,median_rmse_uA,max_rmse_uA,avg_mae_uA,avg_max_abs_residual_uA,avg_normalized_rmse,median_normalized_rmse,avg_r2,median_r2,min_r2,objective_score
AA,155,pcr,1,1,2,2,101,2,500,electrode,16,0.98771706888,0.997051347331,1,0.99647717681,0.0385565281741,0.0332790371795,0.0845217009635,0.0235368864591,0.244908723426,0.00735485490088,0.00615590603807,0.996284186899,0.997712181713,0.987240301272,1.08860575821
AA,146,pcr,1,1,2,2,101,2,250,electrode,16,0.987334030086,0.997058347694,1,0.996485736837,0.039013403104,0.0337642531287,0.0848022681311,0.0237067776562,0.244851739125,0.00744037445195,0.00624646606257,0.996309527627,0.997704479552,0.987406419723,1.0885463574
AA,191,pcr,1,1,2,2,151,2,0,electrode,16,0.988300450048,0.997055357648,1,0.996455959686,0.0377160469457,0.0326456348774,0.083498491876,0.0235519198779,0.226177075409,0.0075410106156,0.00636090427968,0.996346931277,0.997828563369,0.987401382992,1.08848148653
AA,209,pcr,1,1,2,2,151,2,500,electrode,16,0.98814674858,0.997061078707,1,0.996462428187,0.037901651769,0.032841287052,0.0836020388432,0.0236254375761,0.226145355372,0.00757747583235,0.0063993760528,0.996359974739,0.997826263616,0.98748358672,1.08845867425
AA,200,pcr,1,1,2,2,151,2,250,electrode,16,0.987833195909,0.997072438245,1,0.996475306052,0.0382770546731,0.033236526658,0.0838145350804,0.0237739386995,0.226081672798,0.00765125486176,0.00647706285994,0.996385148529,0.997821503626,0.987644927642,1.08841128088
AA,55,pcr,1,1,1,1,31,3,0,all,20,0.987825536353,0.997301677299,1,0.9946259637,0.0417801969223,0.0369217831529,0.0856741077131,0.0275517137232,0.267372016478,0.00756536864995,0.00642120501146,0.995798404996,0.997380493134,0.986748391458,1.0878294184
AA,217,pcr,1,1,1,1,151,3,0,all,20,0.98828218088,0.997288660909,1,0.994600097316,0.0411794369979,0.0366135764164,0.0846472690615,0.0275289955633,0.257902158442,0.00767444603249,0.00660281606398,0.995904320862,0.997533302185,0.987035255018,1.08782431274
AA,109,pcr,1,1,1,1,51,3,0,all,20,0.987839041508,0.997300968899,1,0.994624554243,0.041762482429,0.0369188272464,0.0856456546788,0.0275467560422,0.270473516847,0.00757277889819,0.00642975645378,0.995800188871,0.997385922198,0.986755354572,1.08782368613
AA,28,pcr,1,1,1,1,31,2,0,all,20,0.987827890977,0.997301710235,1,0.994626028092,0.041772680748,0.0369158884287,0.0856844087469,0.0275496267879,0.269233379283,0.00758806966758,0.0064425046784,0.995801056428,0.997383504451,0.986748021921,1.08780937368
AA,235,pcr,1,1,1,1,151,3,500,all,20,0.988082843503,0.997291402909,1,0.994605516755,0.041407219227,0.0368184435174,0.0848049861053,0.0276092412519,0.25790286014,0.00771635065108,0.00664034389762,0.995924306079,0.99752990252,0.98711966271,1.08780280141
