analyte,setup_id,method,n_components,requested_n_components,score_trend_degree,score_trend_degree_effective,smooth_window,smooth_polyorder,grid_points,scope,technique,sweep,electrode,n_concentrations,n_voltages,cumulative_explained_variance_ratio,avg_abs_pc_pearson,avg_abs_pc_spearman,avg_pc_trend_r2,pc_pearson_r,pc_spearman_r,pc_trend_r2,pc_explained_variance_ratio,rmse_uA,mae_uA,max_abs_residual_uA,normalized_rmse,r2,condition_codes,concentration_values_uM,per_condition_rmse_uA,per_condition_mae_uA,per_condition_r2
AA,42,pcr,2,2,3,3,31,2,250,electrode,cv_gc,anodic,E7,4,250,0.99973394404,0.516792072058,0.6,1,0.999383036791;0.0342011073252,1;-0.2,1;1,0.998850006874;0.000883937165605,0.00813487657263,0.00395939718245,0.0521622710829,0.00131305259624,0.999927132561,101;102;103;104,0;100;200;400,0.00912009010339;0.0131588903664;0.00169040586405;0.00234839439896,0.0054883136881;0.0079187943649;0.00101725723507;0.00141322344174,0.999842819586;0.999696970586;0.99999563037;0.999995684427
AA,42,pcr,2,2,3,3,31,2,250,electrode,cv_gc,cathodic,E1,4,250,0.999917672019,0.50536223196,0.7,1,0.999822652388;0.010901811533,1;0.4,1;1,0.998332730872;0.00158494114707,0.003148088854,0.00188763547766,0.0230232695299,0.000555716676716,0.999981576821,101;102;103;104,0;100;200;400,0.00195058705408;0.00493818126682;0.00336309778594;0.000375503573191,0.00138585461366;0.00350848288335;0.00238941634165;0.000266788071963,0.999987441903;0.999928316491;0.999973124188;0.999999823359
AA,42,pcr,2,2,3,3,31,2,250,electrode,cv_gc,cathodic,E3,4,250,0.999861161708,0.510933816666,0.7,1,0.999096232972;0.0227714003613,1;0.4,1;1,0.99601039174;0.003850769968,0.00279348310431,0.00186774181159,0.013358735977,0.000469755778956,0.999983954837,101;102;103;104,0;100;200;400,0.00219013460091;0.00461779802047;0.00224985015772;0.000177813261839,0.00177166950525;0.00373548362319;0.00181997531757;0.000143838800364,0.999987541196;0.999946088675;0.999987703298;0.99999994856
AA,42,pcr,2,2,3,3,31,2,250,electrode,cv_gc,cathodic,E5,4,250,0.999855965713,0.518826427638,0.6,1,0.998911520599;0.0387413346778,1;-0.2,1;1,0.998119340872;0.0017366248411,0.00339887437192,0.00220840259805,0.0201494493948,0.000566543750014,0.999978101576,101;102;103;104,0;100;200;400,0.00388175524354;0.00546526417755;0.000695573878105;0.000887935055904,0.00313707739876;0.0044168051961;0.000562134641489;0.00071759315585,0.999959929193;0.999926287485;0.9999988881;0.99999887217
AA,42,pcr,2,2,3,3,31,2,250,electrode,cv_gc,cathodic,E7,4,250,0.999857003048,0.519677819571,0.6,1,0.999190652803;0.0401649863388,1;-0.2,1;1,0.998211853898;0.00164514915029,0.00339866622492,0.0022887959398,0.0179076312538,0.000546648082284,0.999979442422,101;102;103;104,0;100;200;400,0.00370759497138;0.00554672507085;0.00092695385869;0.000912176240776,0.00305979770353;0.00457759187961;0.000764994911792;0.000752799264289,0.999966512628;0.999930243683;0.999998163325;0.999998861478
AA,42,pcr,2,2,3,3,31,2,250,electrode,cv_normal,anodic,E1,4,250,0.994243747156,0.500455338223,0.7,1,0.986201608144;0.0147090683034,1;0.4,1;1,0.976241017884;0.0180027292717,0.0291070525126,0.0152192420166,0.135388899289,0.0060558173859,0.998517973307,101;102;103;104,0;100;200;400,0.00688419680266;0.0437925863217;0.0377231417088;0.000814752189833,0.00469753456384;0.029882525701;0.0257409494693;0.000555958332166,0.999876830976;0.994199364211;0.996479510604;0.9999991881
AA,42,pcr,2,2,3,3,31,2,250,electrode,cv_normal,anodic,E3,4,250,0.999072888695,0.51846109298,0.7,1,0.998251539558;0.0386706464014,1;0.4,1;1,0.970932146688;0.0281407420066,0.012458909591,0.00716832643831,0.136156180313,0.00229152420658,0.999770501948,101;102;103;104,0;100;200;400,0.00578713032135;0.0188679402826;0.0150801318586;0.00199932189741,0.00397599253095;0.0129630378914;0.0103606603457;0.00137361498526,0.999936742834;0.999133858339;0.999493247132;0.999995623246
AA,42,pcr,2,2,3,3,31,2,250,electrode,cv_normal,anodic,E5,4,250,0.999360093401,0.518368190173,0.7,1,0.999275067001;0.0374613133447,1;0.4,1;1,0.987648350574;0.0117117428264,0.0130409469133,0.00753978058073,0.108359252338,0.00236237622179,0.999792025204,101;102;103;104,0;100;200;400,0.00680039547842;0.0193917421503;0.0157484279026;0.00315708123073,0.00454777519014;0.0129682581145;0.0105317859713;0.00211130304699,0.999905986258;0.999102348682;0.999532057094;0.999991561164
AA,42,pcr,2,2,3,3,31,2,250,electrode,cv_normal,anodic,E7,4,250,0.999350444138,0.536605685263,0.7,1,0.997081006838;0.0761303636879,1;0.4,1;1,0.983852893584;0.0154975505543,0.0132988121412,0.00742558013678,0.124797675128,0.00230371915379,0.999795562068,101;102;103;104,0;100;200;400,0.0060933225977;0.0194447464932;0.0167523336778;0.00340090978234,0.0039610554149;0.0126403480454;0.0108901048587;0.00221081222813,0.999934283086;0.999166020271;0.99949149877;0.999990607085
AA,42,pcr,2,2,3,3,31,2,250,electrode,cv_normal,cathodic,E1,4,250,0.992506152829,0.565524757702,0.6,1,0.98680167866;0.144247836743,1;-0.2,1;1,0.968718074975;0.0237880778546,0.023080566763,0.0138634840772,0.140440930987,0.00471871568323,0.998514319766,101;102;103;104,0;100;200;400,0.00806799730867;0.0188715222252;0.0394192728682;0.0124797533343,0.00567491706902;0.0132739662021;0.0277269681545;0.00877808488333,0.999788019432;0.998367934351;0.994609100978;0.99965730911
