technique,sweep,held_out_ua,day,condition,da_uM,aa_uM,ua_uM,baseline_rmse_global,baseline_r2_global,baseline_rmse_AA,baseline_r2_AA,baseline_rmse_DA,baseline_r2_DA,baseline_rmse_UA,baseline_r2_UA,corrected_rmse_global,corrected_r2_global,corrected_rmse_AA,corrected_r2_AA,corrected_rmse_DA,corrected_r2_DA,corrected_rmse_UA,corrected_r2_UA
cv_normal,anodic,100,2,16,20,400,100,1.151450767,-87.18599106,0.2761454788,-5.614548447,0.1940199896,-2.325842376,0.6014462365,-7800.204942,0.3711279097,-8.161278469,0.07439568896,0.5199130868,0.2855864001,-6.2058257,0.1536565868,-508.1789339
cv_normal,anodic,100,2,17,50,0,100,1.208859703,-56.20376093,0.2385038705,-48.23434128,0.2547829435,-11.60435057,0.2631913286,-17.09415802,0.2294886999,-1.061557217,0.05343060672,-1.470913149,0.03677211049,0.7374470605,0.1376487201,-3.949252156
cv_normal,anodic,100,2,18,50,100,100,1.234015491,-101.5876944,0.2641500758,-22.17896113,0.2074958991,-1.892849758,0.3276160214,-8.341641632,0.2717647476,-3.975540754,0.03672862006,0.5518723809,0.02258436162,0.965729339,0.1113394598,-0.07892475708
cv_normal,anodic,100,2,19,50,200,100,1.232206666,-91.50289545,0.2464025114,-7.669458769,0.2523225573,-3.139408665,0.3770027619,-10.89710698,0.3158407507,-5.0774941,0.01726664185,0.9574286436,0.1506143841,-0.4748880258,0.1395287821,-0.6295958514
cv_normal,anodic,100,2,20,50,400,100,1.259180714,-49.98500667,0.1989803459,-1.569997378,0.3341003678,-20.2462654,0.4876275845,-22.57176623,0.3747026105,-3.514813259,0.03332311787,0.9279218592,0.351736006,-22.54845129,0.2263951441,-4.081007194
cv_normal,anodic,100,2,21,100,0,100,1.11066205,-86.33933233,0.1935884046,-11.44554983,0.2821993862,-5.571181977,0.240576311,-5.283184345,0.2426816055,-3.169843169,0.01257300347,0.9475031219,0.05227040703,0.7745536914,0.1419023607,-1.186015921
cv_normal,anodic,100,2,22,100,100,100,1.068640995,-70.8760707,0.2063008069,-5.381668255,0.2416601527,-1.575259053,0.3220940271,-6.216433173,0.2420038941,-2.686085249,0.04392421353,0.7107053788,0.05641776457,0.8596402521,0.09700266649,0.3454774752
cv_normal,anodic,100,2,23,100,200,100,1.049682531,-34.88389613,0.1834334205,-1.677532667,0.2762564797,-2.205612704,0.3347580085,-5.672199337,0.2949104777,-1.832461768,0.08911334994,0.3680781258,0.1201152982,0.3939858689,0.1323113229,-0.04232003354
cv_normal,anodic,100,2,24,100,400,100,1.058807717,-16.18196385,0.1477482243,-0.03127641354,0.3659187034,-16.26536026,0.3674788266,-4.013967544,0.3226171786,-0.5951942774,0.09243696858,0.5963342206,0.1834390753,-3.339004826,0.1525486611,0.1359603413
cv_normal,anodic,200,3,2,0,100,200,0.860756508,-1.493146489,0.2408873675,-700.743806,0.1324411381,-228.6798944,0.3407711797,-50.17664104,0.3016013335,0.6939068,0.01135118189,-0.5582340931,0.02328580389,-6.100021154,0.079401178,-1.778433161
cv_normal,anodic,200,3,3,0,200,200,0.8573951679,-1.180497588,0.2493558615,-45.62405012,0.1860264326,-34.49370405,0.5303414716,-540.6032205,0.3296586154,0.6776539091,0.01684150718,0.7873170166,0.1123650946,-11.9498534,0.1418903083,-37.76818987
cv_normal,anodic,200,3,4,0,400,200,0.9244857445,-1.36533526,0.1944771808,-11.42091677,0.1369410278,-3.545952311,0.7909167041,-3208.963556,0.319524001,0.7174474443,0.05404194913,0.04086804644,0.1308847773,-3.1527519,0.2646453645,-358.390993
cv_normal,anodic,200,3,5,5,0,200,0.9331726489,-8.951346857,0.1840498929,-22044.84328,0.1021746384,-219.9718558,0.1667937568,-9.883824856,0.1636562848,0.6939282565,0.00834380364,-44.30892178,0.112274491,-265.816654,0.1648157078,-9.627207549
cv_normal,anodic,200,3,6,5,100,200,0.900826109,-6.629175121,0.2996048761,-154.4494823,0.1905502473,-33.2384862,0.3350030287,-35.51581195,0.1724027805,0.7205628227,0.07399477517,-8.481862113,0.0652321964,-3.012541384,0.07345462896,-0.7555848879
cv_normal,anodic,200,3,7,5,200,200,0.8908173019,-5.735692194,0.2905229723,-35.46669924,0.2191329519,-102.1971901,0.4946239782,-135.2402455,0.2001246583,0.6600569611,0.04659461063,0.06199128896,0.138152306,-40.01746077,0.1048569275,-5.122789674
cv_normal,anodic,200,3,8,5,400,200,0.9661649336,-5.803041997,0.2507483468,-10.3633103,0.2215559998,-37.17452771,0.7929946659,-7632.368054,0.2265197688,0.6260506096,0.02524735439,0.8847978826,0.181283826,-24.55787599,0.2828918704,-970.4413938
cv_normal,anodic,200,3,9,10,0,200,0.9805878569,-14.31296903,0.1992362929,-2967.022652,0.1434314844,-186.3293943,0.1854509901,-14.79617102,0.1621150773,0.5814636352,0.005439286193,-1.212147733,0.0662055476,-38.91220367,0.1467325971,-8.888871264
cv_normal,anodic,200,3,10,10,100,200,0.9434226106,-9.203366417,0.3030894386,-109.0075444,0.2041814731,-15.49812963,0.3243997045,-22.55086639,0.1609806734,0.7029165892,0.07596929745,-5.911257654,0.07970764625,-1.514212699,0.0705210827,-0.1129712132
cv_normal,anodic,200,3,11,10,200,200,0.9304962802,-8.124593968,0.2696369714,-18.11413953,0.2289187305,-30.56052091,0.4651975602,-63.26278907,0.1938708701,0.6038958574,0.04036657644,0.5716096234,0.153453329,-13.18189069,0.0730080504,-0.5828006369
cv_normal,anodic,200,3,12,10,400,200,1.005972124,-7.853875992,0.2143596741,-4.021889963,0.2511687801,-54.8071696,0.780275386,-1911.223785,0.2489983451,0.4575565568,0.05702713406,0.6445781614,0.2162210926,-40.35754959,0.284066104,-252.443835
cv_normal,anodic,200,3,13,20,0,200,1.026922843,-13.74507185,0.2071287945,-337.1889104,0.1711138886,-29.71657048,0.2036604066,-11.14491804,0.1348061971,0.7459080073,0.0121841246,-0.1702187983,0.04928932811,-1.548637091,0.1267252313,-3.702269986
cv_normal,anodic,200,3,14,20,100,200,1.000852386,-12.16504103,0.2911060137,-51.85389306,0.2019039273,-4.308074964,0.3015486028,-8.177804934,0.1534061261,0.6907087989,0.06148780771,-1.358048022,0.08992135354,-0.05286620372,0.07776994177,0.3895533295
cv_normal,anodic,200,3,15,20,200,200,0.9938991442,-13.8610169,0.2606903035,-11.53731133,0.2403969346,-7.519095492,0.4113941072,-19.81513437,0.214642182,0.3069029602,0.04837349508,0.5683123844,0.1626289859,-2.898805262,0.04893220175,0.7055221721
cv_normal,anodic,200,3,16,20,400,200,1.072871792,-16.87193692,0.2192309343,-3.272467489,0.2912838625,-53.41122777,0.7178347308,-419.7368819,0.309919837,-0.4913333125,0.06089373048,0.6703749121,0.2298647745,-32.88445638,0.2677036727,-57.51541767
cv_normal,anodic,200,3,17,50,0,200,1.113193556,-18.28660612,0.2193399852,-130.0711129,0.2868827144,-37.41519146,0.266355354,-15.51276917,0.1605281796,0.59893293,0.01802724068,0.1146196456,0.06380562366,-0.9002561875,0.1054573778,-1.588516783
cv_normal,anodic,200,3,18,50,100,200,1.089837484,-16.13426705,0.2809877403,-32.32782047,0.2699755984,-4.42603505,0.3333678361,-6.343694124,0.1866447566,0.497456527,0.05533659301,-0.2925787242,0.1269901759,-0.200532217,0.0875729029,0.4932349216
cv_normal,anodic,200,3,19,50,200,200,1.09294284,-23.59439818,0.2653931828,-11.64787559,0.3218077757,-8.875505249,0.4510765616,-17.92458279,0.2806751452,-0.6219938899,0.04982354838,0.5542335614,0.1967831458,-2.692683236,0.1225926654,-0.3978313168
cv_normal,anodic,200,3,20,50,400,200,1.165487907,-30.8813573,0.2112329516,-2.436586912,0.3848712259,-41.79750783,0.6932750879,-242.1226592,0.4157895373,-3.057591972,0.06427235158,0.6818350192,0.228846871,-14.13134561,0.3783186033,-71.39851255
