technique,sweep,held_out_ua,day,condition,da_uM,aa_uM,ua_uM,baseline_rmse_global,baseline_r2_global,baseline_rmse_AA,baseline_r2_AA,baseline_rmse_DA,baseline_r2_DA,baseline_rmse_UA,baseline_r2_UA,corrected_rmse_global,corrected_r2_global,corrected_rmse_AA,corrected_r2_AA,corrected_rmse_DA,corrected_r2_DA,corrected_rmse_UA,corrected_r2_UA
cv_normal,cathodic,200,3,18,50,100,200,1.113220761,-156.1261618,0.3980327963,-1720.384293,0.2387625587,-24.34549883,0.3142946027,-43.27035076,0.1878972478,-3.476377927,0.02336669623,-4.932459007,0.03874339402,0.3326345469,0.03334309056,0.5017459692
cv_normal,cathodic,200,3,19,50,200,200,1.081663081,-126.356457,0.4313655744,-686.3650707,0.2368008419,-16.35718243,0.2903500399,-31.04932938,0.194495671,-3.11772021,0.01873358342,-0.2963975775,0.04121063688,0.4743079654,0.05804703063,-0.2809588639
cv_normal,cathodic,200,3,20,50,400,200,1.159715416,-105.5306813,0.4290554044,-161.2448587,0.2684248904,-24.18934973,0.2854972875,-34.00247092,0.1944437368,-1.994744401,0.009776470886,0.9157619291,0.02523006032,0.7774600608,0.1096116051,-4.159502236
cv_normal,cathodic,200,3,21,100,0,200,0.9309449211,-53.26339693,0.2039948623,-18.58936056,0.1502690257,-0.7905558413,0.2356329172,-9.083164278,0.3298319589,-5.811526834,0.1364357482,-7.762704251,0.1758428606,-1.451875471,0.1718696773,-4.364428314
cv_normal,cathodic,200,3,22,100,100,200,0.9048321065,-96.85272789,0.2890035855,-59.66972252,0.1869171129,-3.29574279,0.2257729038,-13.47197878,0.296133798,-9.48124531,0.1010474492,-6.41679468,0.1372058808,-1.314651401,0.1644558041,-6.67861142
cv_normal,cathodic,200,3,23,100,200,200,0.8853078598,-96.46103754,0.3450919688,-51.14081622,0.2157344296,-6.373045227,0.2258120953,-19.84764398,0.3007439365,-10.2469859,0.08006986974,-1.807025546,0.1135586437,-1.042905936,0.1623171536,-9.771877787
cv_normal,cathodic,200,3,24,100,400,200,0.97654413,-88.08848588,0.3433392957,-26.61319944,0.2493310087,-10.64983997,0.2674345408,-35.66463323,0.3157384046,-8.313065354,0.1029298025,-1.481715451,0.09711869875,-0.7675555894,0.1634148112,-12.68973942
cv_normal,cathodic,400,4,2,0,100,400,1.0261883,-151.8043629,0.1912343525,-379.0875346,0.04336812095,-95.65560638,0.1874393907,-30.79617597,1.307924105,-247.2256889,0.3404756202,-1203.824656,0.5333330005,-14616.82481,0.57615664,-299.4237803
cv_normal,cathodic,400,4,3,0,200,400,0.9889568319,-76.93845641,0.228205226,-314.2102639,0.06185369125,-49.25525603,0.2042623955,-20.14242254,1.309413701,-135.6315175,0.3400774695,-699.0110572,0.4968376407,-3241.494343,0.5930591544,-177.2271796
cv_normal,cathodic,400,4,4,0,400,400,1.063962017,-43.35184839,0.2641604326,-319.5567026,0.07911390213,-30.23210952,0.2812319484,-32.40474017,1.34343973,-69.71244462,0.3668954252,-617.3778447,0.4316074636,-928.5518079,0.6209991169,-161.8773714
cv_normal,cathodic,400,4,5,5,0,400,1.137770464,-129.5516033,0.1452643912,-187.4433623,0.01774374414,-26.97835396,0.194284794,-27.65756609,1.305394087,-170.8526292,0.329120948,-966.3275535,0.5451724484,-26410.88676,0.5422585054,-222.2412398
cv_normal,cathodic,400,4,6,5,100,400,1.055380532,-64.40777016,0.1978599144,-144.0131794,0.02991838781,-18.74940362,0.2035874662,-16.05071372,1.30011767,-98.26051119,0.3222439056,-383.6460404,0.5087694573,-5710.09881,0.572497015,-133.8301263
cv_normal,cathodic,400,4,7,5,200,400,1.019441698,-46.74853898,0.2375734787,-159.0252597,0.04763976308,-19.52591401,0.2234545093,-13.27929215,1.306116701,-77.37891826,0.3253451513,-299.1105786,0.4760481631,-2048.581096,0.595426271,-100.3875008
cv_normal,cathodic,400,4,8,5,400,400,1.09208042,-29.30147877,0.2695937888,-145.925617,0.07112669188,-13.91309407,0.3007695691,-15.35430621,1.331990514,-44.07719114,0.3483643562,-244.3269073,0.3969074561,-463.3880676,0.6137381377,-67.09740463
cv_normal,cathodic,400,4,9,10,0,400,1.16618536,-168.3668971,0.1720893748,-353.7083647,0.05269172138,-402.5689498,0.2201733395,-44.06228749,1.331591378,-219.8184257,0.3361846792,-1352.689785,0.5624437469,-45981.34936,0.5636270903,-294.3027507
cv_normal,cathodic,400,4,10,10,100,400,1.085536297,-99.39449943,0.2297752419,-297.6451713,0.03811914225,-44.55690395,0.2293204979,-28.77427758,1.333139477,-150.4162193,0.3356124285,-636.1256711,0.5326308917,-8893.482087,0.5982582199,-201.6435708
cv_normal,cathodic,400,4,11,10,200,400,1.048325431,-58.43194921,0.2668501887,-257.2087471,0.03243167551,-8.933416912,0.242858026,-18.44044964,1.331394082,-94.86078382,0.3358781612,-408.0717193,0.4927228668,-2291.795534,0.6147865229,-123.5804976
cv_normal,cathodic,400,4,12,10,400,400,1.121551614,-36.22951584,0.3039434406,-272.8484778,0.04632379328,-6.358852157,0.313540943,-23.47179247,1.358363133,-53.61106306,0.3651616258,-394.2710838,0.4207831208,-606.1814132,0.6393304066,-100.7484918
cv_normal,cathodic,400,4,13,20,0,400,1.216336023,-172.6329907,0.2162773816,-453.0560577,0.1097709224,-1376.639437,0.2660121563,-60.04308868,1.373612265,-220.4386513,0.342496004,-1137.671067,0.5777064481,-38156.10083,0.5903768606,-299.6714469
