day,condition,condition_code,dopamine_uM,ascorbic_acid_uM,uric_acid_uM,technique,sweep,n_points,rmse_uA,mae_uA,max_abs_residual_uA,normalized_rmse,r2,superposition_mode,baseline_source
2,8,208,5,400,100,cv_normal,anodic,1001,1.40492195805,0.734890816945,8.1084358978,0.440597413676,-0.523883368965,full_curve_sum,mean
2,8,208,5,400,100,cv_normal,cathodic,1000,1.04706742519,0.533429634154,7.51183880882,0.420848304481,-1.00108759759,full_curve_sum,mean
2,8,208,5,400,100,cv_gc,anodic,1001,6.6575274079,6.49259773368,13.9294863593,2.08126103983,-30.9397525866,full_curve_sum,mean
2,8,208,5,400,100,cv_gc,cathodic,1000,6.05520005007,5.93012467703,13.5010055036,2.20905227312,-51.5096652082,full_curve_sum,mean
2,9,209,10,0,100,cv_normal,anodic,1001,1.5477664898,0.633731605771,9.35278650046,1.06742516538,-13.1247307096,full_curve_sum,mean
2,9,209,10,0,100,cv_normal,cathodic,1000,1.20628869088,0.682539206154,8.67728219343,0.833705640252,-17.35414792,full_curve_sum,mean
2,9,209,10,0,100,cv_gc,anodic,1001,18.67877455,18.5455784082,26.0675639259,10.8633843,-1041.99653936,full_curve_sum,mean
2,9,209,10,0,100,cv_gc,cathodic,1000,18.2597720932,18.1607867056,25.6592455543,10.6012001064,-1915.24333763,full_curve_sum,mean
2,10,210,10,100,100,cv_normal,anodic,1001,1.57294017432,0.665550062955,9.39883047848,1.03801994904,-8.91183924689,full_curve_sum,mean
2,10,210,10,100,100,cv_normal,cathodic,1000,1.20040830537,0.630642000353,8.75480691554,0.820035048241,-10.4063942476,full_curve_sum,mean
2,10,210,10,100,100,cv_gc,anodic,1001,18.719952624,18.5874091179,26.0771325189,9.75199429258,-786.532320715,full_curve_sum,mean
2,10,210,10,100,100,cv_gc,cathodic,1000,18.2579454998,18.1600091868,25.6645135175,9.48390800706,-1242.83546171,full_curve_sum,mean
2,11,211,10,200,100,cv_normal,anodic,1001,1.54181877539,0.656798246933,9.21445257921,0.809269787198,-4.65541051047,full_curve_sum,mean
