analyte,setup_id,method,n_components,requested_n_components,score_trend_degree,score_trend_degree_effective,smooth_window,smooth_polyorder,grid_points,scope,technique,sweep,electrode,n_concentrations,n_voltages,cumulative_explained_variance_ratio,avg_abs_pc_pearson,avg_abs_pc_spearman,avg_pc_trend_r2,pc_pearson_r,pc_spearman_r,pc_trend_r2,pc_explained_variance_ratio,rmse_uA,mae_uA,max_abs_residual_uA,normalized_rmse,r2,condition_codes,concentration_values_uM,per_condition_rmse_uA,per_condition_mae_uA,per_condition_r2
UA,120,pcr,1,1,3,3,51,3,250,electrode,cv_gc,cathodic,E7,4,250,0.812078472947,0.613603410583,0.8,1,0.613603410583,0.8,1,0.812078472947,0.16327391569,0.0574913730866,1.45115646521,0.0303821824417,0.937198414859,101;201;301;401,0;100;200;400,0.1810994153;0.204201900357;0.136600064057;0.116096917906,0.0564252757286;0.0699661843892;0.0486986651479;0.0548753670808,0.920071768164;0.633369076696;0.975221729444;0.944837134383
UA,120,pcr,1,1,3,3,51,3,250,electrode,cv_normal,anodic,E1,4,250,0.900094108609,0.59904936002,0.8,1,0.59904936002,0.8,1,0.900094108609,0.147663401415,0.0566932390831,1.08047117347,0.0336840486255,0.961396795122,101;201;301;401,0;100;200;400,0.14853038398;0.159417743482;0.144644003078;0.13718870559,0.0519752225199;0.0610966345297;0.0527227559099;0.060978343373,0.942639468332;0.868989598742;0.980013554953;0.948382291635
UA,120,pcr,1,1,3,3,51,3,250,electrode,cv_normal,anodic,E3,4,250,0.863742103532,0.617051406087,0.8,1,0.617051406087,0.8,1,0.863742103532,0.212409424306,0.0927446024374,1.7021846514,0.04095014496,0.939794013658,101;201;301;401,0;100;200;400,0.238488665729;0.251353110948;0.177142813037;0.170400257809,0.0966378188759;0.0898769206768;0.0844626958595;0.100000974337,0.89253558649;0.62311819058;0.975746641962;0.942762543656
UA,120,pcr,1,1,3,3,51,3,250,electrode,cv_normal,anodic,E5,4,250,0.909891809821,0.730402522721,0.8,1,0.730402522721,0.8,1,0.909891809821,0.135399917043,0.0561884941793,1.28738938373,0.0272325806083,0.967340572496,101;201;301;401,0;100;200;400,0.121702655517;0.195736469746;0.128928828331;0.0598799249944,0.0530065065528;0.0866953896419;0.0542545849916;0.0307974955309,0.969884067327;0.781962755086;0.98104451981;0.992429391614
UA,120,pcr,1,1,3,3,51,3,250,electrode,cv_normal,anodic,E7,4,250,0.861580759738,0.707158673974,0.8,1,0.707158673974,0.8,1,0.861580759738,0.170566533404,0.0771761815294,1.47136996383,0.0320129391978,0.945241796199,101;201;301;401,0;100;200;400,0.145705195179;0.239287647516;0.175394488148;0.0843798592159,0.0677072738712;0.115505206951;0.0802755671019;0.0452166781933,0.962423477044;0.585745970713;0.96289691644;0.98155634635
UA,120,pcr,1,1,3,3,51,3,250,electrode,cv_normal,cathodic,E1,4,250,0.892259058724,0.659277212047,0.8,1,0.659277212047,0.8,1,0.892259058724,0.114060906692,0.0460337735327,0.996581515088,0.0240760255682,0.952582489823,101;201;301;401,0;100;200;400,0.0922916173181;0.13191664279;0.131360729652;0.0941497592905,0.0356499535496;0.0457441166338;0.0547314063638;0.0480096175836,0.972251361241;0.782515349543;0.958980070986;0.930524134587
UA,120,pcr,1,1,3,3,51,3,250,electrode,cv_normal,cathodic,E3,4,250,0.84426453639,0.740645984864,0.8,1,0.740645984864,0.8,1,0.84426453639,0.153204795159,0.0740363367145,1.50569047155,0.0272720491837,0.931305967482,101;201;301;401,0;100;200;400,0.105569695393;0.203720987754;0.182145886636;0.0897914894851,0.0500489659902;0.0873390502027;0.0977009453094;0.0610563853559,0.973697483367;0.389466441218;0.937001369426;0.95574713851
UA,120,pcr,1,1,3,3,51,3,250,electrode,cv_normal,cathodic,E5,4,250,0.913980986476,0.723191213645,0.8,1,0.723191213645,0.8,1,0.913980986476,0.101527367249,0.0403703384476,1.07531508621,0.0191605372803,0.963798422345,101;201;301;401,0;100;200;400,0.0731051831021;0.147124957012;0.112405596355;0.0400760070082,0.029998592246;0.0587259306567;0.049535228512;0.0232216023758,0.986028403769;0.730992999622;0.964417502755;0.990425196724
UA,120,pcr,1,1,3,3,51,3,250,electrode,cv_normal,cathodic,E7,4,250,0.896378078608,0.733748640494,0.8,1,0.733748640494,0.8,1,0.896378078608,0.115560199138,0.0519939849282,1.12336735826,0.0203101822659,0.951264371684,101;201;301;401,0;100;200;400,0.0654900337167;0.165774779474;0.14024052117;0.0444860955261,0.0302231441287;0.0736894685404;0.0714780110398;0.0325853160038,0.990156330554;0.546059670059;0.93786707035;0.985391189671
UA,120,pcr,1,1,3,3,51,3,250,mean,cv_gc,anodic,mean,4,250,0.999150367038,0.113926005034,0.8,1,0.113926005034,0.8,1,0.999150367038,0.322421117417,0.203309058655,2.06231888993,0.0113115325314,0.999154183055,101;201;301;401,0;100;200;400,0.488303084851;0.173610777342;0.00900891065524;0.383614054317,0.386862536182;0.0808538575383;0.00755898338926;0.33796085751,0.483467048595;0.888205265173;0.999961814216;0.792289012933
